제목,카테고리1,카테고리2,카테고리3,지역명,시군구명,요약
희정당,인문(문화/예술/역사),역사관광지,고궁,서울,종로구,"희정당은 정면 11칸, 측면 5칸. 단층 팔작기와지붕 익공(翼工)집이다. 조선 후기에 국왕이 평상시에 거처하던 곳이다. 창덕궁의 침전인 대조전(大造殿)의 바로 앞 남쪽에 있으며, 대조전과 같은 높이의 기단(基壇) 위에 나란히 지었다. 본래는 창덕궁의 창건 때 세웠으나, 임진왜란의 병화 등 여러 차례의 화재로 소실되었고, 1834년에 재건된 건물도 1917년의 화재로 불에 타 없어지고 현재의 것은 1920년에 세워져 오늘에 이르고 있다. 잦은 소실과 거듭된 재건으로 건물의 규모와 용도도 많이 변하였다. 정면 9칸, 측면 3칸은 거실로"
숭정전,인문(문화/예술/역사),역사관광지,고궁,서울,중구,"숭정전은 원래 경희궁(慶熙宮)의 정전(正殿)이었다. 경희궁은 원래 인조의 아버지인 원종(元宗)의 사저(私邸)가 있던 곳이다. 광해군이 이곳에 왕기(王氣)가 서렸다는 풍수설을 믿고 왕기를 누르기 위해 즉위 9년인 1617년에서 1620년 사이에 궁궐을 건립하여 경덕궁(慶德宮)이라 불렀던 곳이다. 숭정전은 1910년 일제가 경희궁을 철폐하고 일본인 자제들을 위한 학교인 경성중학교(京城中學校)를 설립할 때도 남아 있었다. 그 후 1926년에 필동 남산 기슭, 지금의 동국대학교 자리인 조계사(曹溪寺)의 본전으로 사용되기 위해 이건되었다 광"
고령 주산성,인문(문화/예술/역사),역사관광지,성,경상북도,고령군,"* 대가야시대의 산성, 고령 주산성 * 고령의 서쪽에 있는, 이산(耳山)이라고 불리기도 하는 주산(主山, 311m)에 있는 성으로 가야시대의 산성이다. 정상부에서 6부 능선까지 내려오면서 능선상에 내. 외 이중으로 축조된 테뫼식으로 성(城) 전체의 길이가 1,351m로 토석으로 견고히 석축한 성벽의 일부가 남아 있다. &nbsp; 당시 신라군에 대항하기 위해 대가야 시대에 축조된 산성으로 추정하고 있으며 지표 조사 결과 성내에는 망대 8개소, 건물지 2개소, 연못지 1개소가 있고 삼국시대의 석곽 1기가 확인되었다. 읍내에서 산성으로"
합미성(장수),인문(문화/예술/역사),역사관광지,성,전라북도,장수군,"논개의 고장이기도 한 장수군의 장수읍 대성리, 팔공산(1,151m) 중턱에는 합미성이 있다. 후백제시대의 산성으로 둘레 400m, 높이 7m의 석성이다. 당시 군량미를 이곳에 모아두었다 하여 합미성(合米城)이라 부른다. 이 성은 최근 고고학자들의 고증에 의하면 백제 때 축조한 성이라고 하니 백제가 강성해지면서 마한을 병합할 때나, 아니면 백제 근초고왕 때 전방기지로 축성된 성인 듯하고 1천 5백년 전이나 1천 6백년 전의 축성이라고 보는데 현재까지 성의 형태가 온전하게 유지되어 그 시대의 축성기술을 알 수 있다. "
자하성,인문(문화/예술/역사),역사관광지,성,경상북도,청송군,"자하성은 대전사에서 동편으로 약 1km 지점에 있으며 주왕암 입구에 나한봉을 걸쳐 가로막은 돌담이다. 이 성은 주왕이 신라군사를 막기 위해 쌓은 성이다. 천년 세월을 입증하듯 지금은 덤불 속에 묻힌 이끼 낀 돌덩이로 초라하게 남아있다. 지금은 자하성의 잔해만 남았지만, 그 옛날에는 30여리에 이르는 거대한 성이었다 한다. 주왕이 패전한 지 이미 천여년의 세월이 흘렀건만 그 당시 주왕이 쌓았다는 30여리의 자하성 일부가 그 때를 입증하듯 이끼 낀 돌더미가 칡 넝쿨등이 얼크러진 덤불 속에 묻혀있다. 주왕굴을 중심으로 사방을 방어할 수 "
망이산성,인문(문화/예술/역사),역사관광지,성,경기도,안성시,"삼국시대에 축조된 산성으로, 해발 472m의 망이산 정상에서 북쪽으로 낮은 능선을 따라 성벽을 쌓았다. 남쪽으로는 음성군 삼성면과 멀리 진천군 일대의 들판이 내려다 보이는 군사 요충지이며, 산정상 주변에 흙으로 내성을 쌓고 능선에는 길이 약 2㎞에 걸쳐 돌을 사용하여 외성을 쌓았다. 내성안에는 정방형의 봉수대를 세웠고, 외성의 축조방식은 지형조건에 따라 조금씩 다른데, 대개 외벽을 높게 쌓고 내벽은 흙을 높게 다져 사람이 다닐 수 있도록 한 소위 내탁 방식을 취하고 있다. 내성안에는 장방형의 봉수대를 세웠다. 이 봉수는 죽산 건지산"
익산 낭산산성,인문(문화/예술/역사),역사관광지,성,전라북도,익산시,"* 백제문화의 꽃, 낭산산성(郎山山城) * 전라북도 익산시 해발 162m의 낭산 정상에 있는 산성이다. 익산 지역은 5세기 중엽부터 백제의 지방 중심세력이었고, 7세기를 전후하여 금강변의 웅포 지역보다 내륙에 위치한 금마 지역을 중심으로 백제문화의 꽃을 피웠다. 미륵산에서 북으로 약 4km쯤 떨어진 낭산리 상랑부락 뒷산에 위치하고 있으며 산의 높이는 162m로, 이 산성은 일명 마한성으로 불리고 있다. 여산에서 서쪽으로 약 5km쯤 떨어진 낭산의 가장 높은 봉우리인 선인봉을 돌로 두른 산성으로 전체 길이는 약 870m 정도이며, 현"
가배량성,인문(문화/예술/역사),역사관광지,성,경상남도,거제시,"거제시의 남쪽동부면 노자산 기슭에 깊숙한 해안을 오아포(烏兒蒲)라 한다. 이곳은 전략적 요새지로 생겨 임진란 당시 이순신 장군이 우수용을 한산도 두억포에서 전라도 녹도로 다시 진도경에 옮겼다가, 또다시 거제 오아포(현재 가배량)에 우수영이 설치되었고 그때 지금의 성이 쌓아졌다고 한다. 성의 서쪽과 남쪽의 일부에는 적의 공격으로 부터 성을 지키기 위한 해자가 있으며, 서남쪽 산봉우리에는 망대의 터가 남아 있고 성안에는 기와편이 발견되고 있다. 또한 통제영의 관아가 있었던 곳에는 아직도 주춧돌이 남아 있다. &nbsp; "
춘천봉의산성,인문(문화/예술/역사),역사관광지,성,강원도,춘천시,"봉의산성이 위치한 봉의산은 해발 301.5m로 춘천의 중심부에 우뚝 솟아 춘천의 상징적인 산이다. 이 산의 8부 능선을 따라 둘러져 있는 봉의산성은 춘천의 항쟁사를 확실하게 알려주는 호국전적지이다. 조선시대의 문헌인 동국여지승람에「鳳儀山古城 石築周 二四六三尺. 高 一十尺」이라고 기록되어 있으며 실측결과 성의 수평거리 총연장은 1,241.5m이며 높이는 5∼6m 내외였다. 규격이 일정하지 않게 다듬은 네모난 돌로 지형에 따라 높이를 조절하며 축성하였다. 성문과 망루가 있었음직한 곳은 모두 훼손되어 원형을 추정할 수 없는 상태이며, 내"
남미질부성,인문(문화/예술/역사),역사관광지,성,경상북도,포항시,"남미질부성은 흥해읍 남쪽 평지 위에 돌출된 천연적인 구릉지를 이용하여 성벽을 축조하였다. 성벽은 흙을 이겨서 쌓은 토성이며, 성벽 둘레가 약 2km나 되는 대형급 성곽이다. 성 안에는 남성리의 ""못산(池山)마을""이 자리잡고 있으며, 이 못산마을의 서편 구릉지에는 성주의 무덤으로 전하는 고분이 7∼9기 정도 남아있다. 또 기록에는 1개의 못과 3개의 우물이 있어서 성안에 거주하는 사람들이 이용하였다고 하는데, 현재는 1개의 못과 1개의 우물이 남아있다. 이 성곽에 대한 최초의 기록은 삼국사기 4권, 신라본기 4권, 지증왕 5년조에 나"
대국산성,인문(문화/예술/역사),역사관광지,성,경상남도,남해군,"대국산성은 현성(縣城)이었던 성산성에서 동북방향으로 설천면과 고현면의 경계지점, 해발 376m의 대국산 정상에 있다. 산성으로 가려면 고현면 남치, 관당마을에서 가는 길과 설천면 정태, 내곡, 동비, 진목마을에서 가는 길이 있다. 이 산성은 머리만한 자연석를 사용하여 겹겹이 쌓아올리고 내부에 흙과 자갈로 메워 토루를 만들어 직선형 성곽을 이룬 타원형 성곽이다. 형태나 지형적으로 보아 현 소재지 가까이 있어 현성의 외곽성 역할을 한 것 같다. 평상시에는 성 아래에서 거주하다 왜구의 침입을 받으면 산성으로 들어가 방어하고 공격을 하였을"
죽주산성,인문(문화/예술/역사),역사관광지,성,경기도,안성시,"태평미륵이 등을 기대고 서 있는 매산리 비봉산에 죽주산성이 있다. 죽주산성은 신라 때 내성을 쌓고, 고려 때 외성을 쌓았다. 언제 쌓았는지 알 수 없는 본성은 1.7㎞이고, 외성 1.5㎞, 내성 270m로 세겹의 석성이 지금도 남아있고 보전 상태가 좋다. 죽주산성은 특히 임진왜란 때 격전지였다. 왜군에게 내주고 말았던 죽주산성을 황진 장군이 기습작전으로 탈환에 성공하자 왜군은 더 이상 용인과 이천을 넘보지 못했다. 포루가 만들어진 산정에 올라서면 안성벌, 이천ㆍ장호원이 한눈에 잡힌다. 충청, 전라, 경상도의 삼남과 서울을 이어주는 "
별망성지,인문(문화/예술/역사),역사관광지,성,경기도,안산시,"별망성지(別望城址)는 남양만을 연하여 해안으로 침입하는 외적을 막을 수 있는 요새지를 형성코자 독립봉의 배면 정상에서 해안선를 따라 양쪽골짜기 사이를 돌로 쌓아 만든 해안산성이다. 평지에는 군영지(軍營地)로 보이는 터가 남아 있으며 동국여지승람의 기록에는 1656년(효종 7년)에 이 곳의 초지진을 강화도로 옮겨 이곳을 1초지, 강화도의 것을 2초지라 하였다. 성 가운데에서는 청자 및 도자기 조각들이 출토되었으며, 능선 끝에는 선사 시대의 패총(조개무덤)이 있다. 전설에 의하면 이 곳은 당나라 사신의 왕래가 있었던 곳으로 우리나라의 "
단양 적성,인문(문화/예술/역사),역사관광지,성,충청북도,단양군,"* 삼국시대의 전략적 요충지, 적성산성 * 단양 성재산에 있는 돌로 쌓아 만든 산성이다. 주위가 약 900m이나 대부분 붕괴되고, 북동쪽에는 안팎으로 겹쳐 쌓은 부분의 안쪽 성벽이 일부 남아있다. 적성산성은 성재산 봉우리와 남쪽 비탈을 빙 둘러쌓은 테뫼식 산성. 1979년 8월 1일 사적 제 265호로 지정되었으며 신증동국여지승람, 호서읍지 단양군지 위지 표기로는 주 1,768척이 있었다고 한다. &nbsp; 성의 둘레는 923m이고, 현재 성벽은 대부분 무너졌다. 북동쪽 끝에 높이 3m 가량의 성벽이 비교적 잘 남아있다. 성문 자"
보령 충청수영성,인문(문화/예술/역사),역사관광지,성,충청남도,보령시,오천초등학교 뒤편으로 오천성 위에 올라서면 천수만과 정겨운 오천항 전경이 시야에 들어온다. 오천은 백제때부터 회이포라는 이름을 가진 항구로 이용됐던 곳이다. 통일신라 당시에는 당나라와의 교역 창구로서 이름이 높았다. 고려시대로 넘어오면서 왜구의 침입이 잦아지자 오천항 일대를 지키는 수군이 주둔하기 시작했다. 그러나 수영이 설치된 것은 조선조 때이다. 조선 중종 15년(1510)에 성이 만들어지고 충청도 수군절도사영의 본거지가 되었다. 이 성에는 건립 당시 4개의 문이 있었고 많은 건물이 들어앉았다. 임진왜란 당시 오천수영 수군은 이
부여 부소산성,인문(문화/예술/역사),역사관광지,성,충청남도,부여군,"* 백제 문화의 보고, 부소산과 부소산성 * 부여에 들어서면 시가지 북쪽에 검푸른 숲을 이룬 해발 106m 의 나지막한 부소산이 제일 먼저 눈에 들어 온다. 부여의 진산인 부소산에는 수많은 백제 여인들이 꽃잎처럼 떨어져 죽음으로 절개를 지킨 낙화암, 백화정, 사자루, 반월루, 궁녀사, 고란사, 부소산성(사적 제5호), 해맞이하는 영일루, 성충ㆍ흥수ㆍ계백의 백제 충신을 모신 삼충사, 곡식 창고터였던 군창지, 백제 군인의 움집 수혈병영지 발길 닿는 곳마다 발걸음을 붙잡는 토성들, 백제의 역사와 백제왕실의 이야기가 곳곳에 배어 있다. &"
보은 삼년산성,인문(문화/예술/역사),역사관광지,성,충청북도,보은군,"* 평화를 지켜낸 삼국의 요새, 삼년산성 * 충북 보은군 보은읍 성주1길 104에는 신라시대 산성인 삼년산성이 있다. 둘레 1.7km, 넓이 8~10m, 높이 13~20m 규모의 삼년산성은 난공불락의 요새다. 성벽 아래에 서면 정육각형 벽돌로 깎아 쌓은 정교한 솜씨와 높고 튼튼한 기품에 압도된다. 삼년산성이라는 이름은 성을 쌓는 데 3년이 걸렸기 때문이라고도 하고, 삼국시대 보은의 지명이 삼년군이었기 때문이라고도 한다. 백제 성왕을 공격한 신라의 관산성 전투부대가 이곳에 주둔했었다. 태종무열왕이 당나라 사신을 접견한 곳도, 고려 왕"
금산 백령성,인문(문화/예술/역사),역사관광지,성,충청남도,금산군,"남이면 건천리와 역평리 선치산(仙治山)의 동쪽에 있으며, 둘레가 약 200m에 이르는 백제의 테뫼식 산성(山城)이다. 이곳은 금산군 제원면과 추부면을 통하여 영동/옥천에 이르는 전략상 요충지이다. 김정호(金正浩)의 『청구도(靑丘圖)』에는 백자령(栢子嶺)으로 『대동여지도(大東輿地圖)』에는 탄현(炭峴)으로 나와있다. 금산군의 외곽성(外廓城)으로 알려져 있으며 서쪽을 제외한 동,남,북쪽은 거의 허물어졌다. 서쪽 벽의 남은 상태를 보면 바깥쪽 벽의 높이는 5.8m~6.9m 이고 안쪽 벽은 2.3m~3m이며, 성벽의 너비는 4m에 이른다. "
우산성,인문(문화/예술/역사),역사관광지,성,충청남도,청양군,"* 백제시대의 산성, 우산성 * 우산성은 충청남도 기념물 제81호로 지정되어 있는 백제시대 축성한 산성으로 높이는 3~7m이고, 길이가 965m에 달하고 청양읍 읍내리, 송방리, 백천리에 걸쳐 있으며 우산의 2개봉의 산정과 산곡의 자연지형에 따라 축성한 성이다. &nbsp; 우산성은 청양시가지와 인접해 있고 입구에 보물 제197호로 지정된 청양석조삼존불입상과 문화재자료 148호로 지정된 청양삼층석탑 등이 있어 많은 사람들의 산책코스 및 휴식처로 이용되고 있다. &nbsp; * 우산성의 구조와 형태 * 양쪽에 돌로 쌓고 가운데에 흙을"
나주 회진성,인문(문화/예술/역사),역사관광지,성,전라남도,나주시,"* 백제 지역의 가장 큰 규모의 토성, 회진성 * 회진성은 백제 지역에서 가장 규모가 큰 토성으로 서울의 몽촌토성보다 둘레가 100m 더 길다. 이곳은 동, 서, 북 삼면이 산으로 둘러싸여 있고, 남쪽만이 영산강의 본류를 향해 개방된 영산강 유역 천혜의 요충지이다. 성벽은 판축(版築)이라 하여 한채 한채 흙을 넣고 다져 쌓았다. 성의 둘레 길이는 2.4km이고 그 아랫부분은 폭이 14m이다. 산 능선의 평탄한 곳을 이용하여 4개의 문을 만들었던 흔적이 있고, 남쪽의 낮은 계곡에 수구문(水口門)이 있었던 흔적도 있다. &nbsp; 1"
금광산성,인문(문화/예술/역사),역사관광지,성,경기도,안성시,"금광산성은 금광산 8부 능선에서 정상에 걸쳐 총연장 2km, 높이 1∼3m, 폭 4m로 축조된 토석잡축의 원추형토성이다. 능선을 따라 정상에 이르는 요소 요소에는 토치카형의 토성흔적이 역연하며 이 성이 방어용 군사요새임을 실감케 한다. 산성의 정상에 오르면 정동향으로 금광면 옥정리와 금광·마둔 저수지가 눈 아래 들어오고, 동남향 10km 지점에는 임진왜란때 의병장 홍계남이 활약하던 서운산성, 서북방면 5km 지점에는 비봉산성이 펼쳐져 있다. 서운·비봉의 두 산성과 기각지세를 이루는 이 산성은 옛부터 삼남을 방어하는 전략적 요충이자 "
고부구읍성,인문(문화/예술/역사),역사관광지,성,전라북도,정읍시,"정읍시는 갑오동학혁명의 시발지이자 주요 무대로 덕천면의 황토현 전적지를 중심으로 고부 관아터, 만석보터, 말목장터, 전봉준장군고택 등 많은 관련 유적이 있다. 높이 132m의 성황산(城隍山)에 쌓여진 고부의 옛 읍성은 고려시대부터 있었던 것이다. 성 안에서 발견되는 각종 그릇과 기와조각으로 미루어 보아서는 삼국시대 백제가 이미 성을 쌓았을 가능성이 높다. 조선 초기의 기록에 이미 둘레 460보(步)의 돌로 쌓은 읍성이 있었다 하였으며, 문종실록에 의하면 문종 원년(1451)경에 더욱 넓혀 쌓아 둘레 1,803척(尺) 높이 9척이었고"
창원 진례산성,인문(문화/예술/역사),역사관광지,성,경상남도,창원시,"* 삼국시대의 포곡식 산성, 비음산 진례산성 *창원은 사방이 산으로 둘러싸인 분지이면서 남으로는 바다와 연결돼 있다. 사람이 살기에 좋은 자연조건이다 보니 선사시대 유적이 시내 곳곳에 많다. 창원시 동부지역, 토월동, 사파정동과 김해시 진례면의 경계를 이루는 비음산 위에 축성된 석성이 진례산성이다.&nbsp;둘레가 4km에 이르는 포곡식 산성(내부에 넓은 계곡을 포용하고 계곡을 둘러싼 주위의 산 능선을 따라 성벽을 축조한 산성)으로 통일신라시대에 축성한 것으로 추정된다. 산성에서 내려다 보면 김해평야와 창원시가지가 한눈에 들어와 당"
담양 금성산성,인문(문화/예술/역사),역사관광지,성,전라남도,담양군,"* 호남 3대 산성 중 하나, 금성산성 * 담양군 금성면과 전라북도 순창군의 경계를 이루는 금성산(603m)에 위치한 금성산성은 호남의 3대 산성 가운데 하나로 꼽힌다. 산성은 철마봉, 운대봉, 장대봉을 연결하여 이중 산성을 이루고 있으며, 외성은 6.486m, 내성은 859m에 달하는 석성이다. &nbsp; 금성산성을 쌓은 연대는 확실치 않으나, 성의 주위 여건 및 고적의 증거로 보아 삼한시대로 추정된다. 1409년(조선 태종 9)에 개축하였으며, 임진왜란 후 1610년(광해군 2)에 파괴된 성곽을 개수하고 내성을 구축하였다. 1"
여주 파사성,인문(문화/예술/역사),역사관광지,성,경기도,여주시,"* 삼국시대의 전략적 요충지, 파사성지 * 이 성은 해발 250m 정도의 파사산 정상을 중심으로 능선을 따라 축성한 석축산성이다. 성의 일부는 강기슭에 돌출되게 자리잡아 상하류를 한 눈에 볼 수 있는 전략적 요충지이다. &nbsp; 파사성은 성벽 등이 비교적 많이 남아 있으며, 둘레는 약 1,800m 정도이며 성벽 중 최고 높은 곳은 6.25m나 되며, 낮은 곳은 1.4m 되는 곳도 있다. 천서리를 면한 동문지(東門址), 금사면 이포리를 면한 남문지(南門址)에는 문앵(門櫻)을 세웠던 고주형 초석 2기와 평주 초석이 남았고 동문지에는"
웅천왜성,인문(문화/예술/역사),역사관광지,성,경상남도,창원시,"진해는 우리나라의 대표적인 군항도시로 임진왜란 때의 명장인 이순신장군과 관련된 문화유적이 많다. 반면 왜군이 만든 유적도 있으니 그것이 웅천왜성이다. 웅천왜성은 남문동의 남산(해발184m) 산봉우리에서 능선을 따라 산기슭까지 뻗친 석성으로 임진왜란 때인 1593년 소서행장이 구축하여 수비하던 곳으로 정유재란에 재침하여 다시 구축하였다고 한다. 성내의 넓이는 약 16,529m²(5,000여평)정도이고 성벽의 둘레는 1,250m, 높이는 3~8m에 이른다. 웅천왜성은 남산 산봉우리에 위치하기 때문에 차에서 내려 약 20분간 도보로 산을"
청주 정북동 토성,인문(문화/예술/역사),역사관광지,성,충청북도,청주시,"* 청동기 말기의 방형토성, 정북동 토성 * 정북동 토성은 청주시 북쪽 미호천변 평야의 중심에 위치한 평지 토성인데 정확한 축조 연대를 알 수 없으나, 평지에 축조된 방형 토성이라는 사실과 최근 발굴조사 결과 출토된 유물로 보아 청동기 말기나 원삼국시대인 2∼3세기 경에 최초의 축성이 이루어진 것으로 추정되고 있다. 또한, 영조 20년(1744)에 상당산성의 승장으로 있던 영휴가 쓴「상당산성고금사적기」에 견훤이 궁예의 상당산성을 탈취하고 작강(鵲江) 즉 까치내 옆에 토성을 쌓고 창고를 지었다는 기록이 있다. &nbsp; 토성은 남북"
고현성,인문(문화/예술/역사),역사관광지,성,경상남도,거제시,"거제시는 거제도와 크고 작은 섬 60여 개로 이루어졌다. 고려 말에는 왜구의 침략이 심해 섬 전체가 폐허로 변해버린 적도 있다. 고현성(고현읍성)은 사등성이 협소하여 조선조 초기에 고현으로 옮긴 거제의 읍성으로 동서남북에 성문이 있는 평지 옹성이며, 지금은 성내에 거제시 청사가 자리잡고 있다. "
당포성지,인문(문화/예술/역사),역사관광지,성,경상남도,통영시,"통영은 고성반도 끝자락과 미륵도, 한산도를 비롯한 부속 섬 40여개로 이루어진 고장이다. 1995년 충무시와 통영군이 통합돼 통영시가 됐다. 통영이란 이름은 수군통제사가 머문 통제영이 있던 자리라는 데서 비롯됐다. 당포성지는 통영 미륵도의 산양읍 삼덕리 야산의 능선을 따라 축성된 산성으로 길이 약 750m의 성지가 남아 있다. 자연석 이중기단에 높이 약 2.7m, 약 4.5m의 폭으로 쌓은 이 성벽은 고려·조선시대의 전형적인 석축진성으로 고려 말 최영 장군이 왜구의 침입에 대비코자 군사와 백성들을 동원하여 쌓았다고 전한다."
